Data_Pedido,Cliente_ID,Produto,Quantidade,Valor_Unitario,Valor_Total
2025-01-01,150,Caixa de Sorvete de Chocolate Belga 10L,10,110.0,1100.0
2025-01-01,146,Caixa de Sorvete de Chocolate Belga 10L,78,110.0,8580.0
2025-01-01,103,Caixa de Sorvete de Chocolate Belga 10L,74,110.0,8140.0
2025-01-01,140,Caixa de Sorvete de Chocolate Belga 10L,29,110.0,3190.0
2025-01-01,101,Caixa de Sorvete de Chocolate Belga 10L,39,110.0,4290.0
2025-01-01,145,Caixa de Sorvete de Chocolate Belga 10L,76,110.0,8360.0
2025-01-01,107,Caixa de Sorvete de Chocolate Belga 10L,17,110.0,1870.0
2025-01-01,118,Caixa de Sorvete de Chocolate Belga 10L,83,110.0,9130.0
2025-01-02,134,Caixa de Sorvete de Chocolate Belga 10L,60,110.0,6600.0
2025-01-02,112,Caixa de Sorvete de Chocolate Belga 10L,89,110.0,9790.0
2025-01-02,117,Caixa de Sorvete de Chocolate Belga 10L,39,110.0,4290.0
2025-01-02,124,Caixa de Sorvete de Chocolate Belga 10L,15,110.0,1650.0
2025-01-02,108,Caixa de Sorvete de Chocolate Belga 10L,44,110.0,4840.0
2025-01-03,110,Caixa de Sorvete de Chocolate Belga 10L,114,110.0,12540.0
2025-01-03,139,Caixa de Sorvete de Chocolate Belga 10L,71,110.0,7810.0
2025-01-03,101,Caixa de Sorvete de Chocolate Belga 10L,19,110.0,2090.0
2025-01-03,107,Caixa de Sorvete de Chocolate Belga 10L,103,110.0,11330.0
2025-01-03,119,Caixa de Sorvete de Chocolate Belga 10L,49,110.0,5390.0
2025-01-03,140,Caixa de Sorvete de Chocolate Belga 10L,27,110.0,2970.0
2025-01-04,108,Caixa de Sorvete de Chocolate Belga 10L,68,110.0,7480.0
2025-01-04,126,Caixa de Sorvete de Chocolate Belga 10L,25,110.0,2750.0
2025-01-04,101,Caixa de Sorvete de Chocolate Belga 10L,31,110.0,3410.0
2025-01-04,148,Caixa de Sorvete de Chocolate Belga 10L,30,110.0,3300.0
2025-01-05,150,Caixa de Sorvete de Chocolate Belga 10L,51,110.0,5610.0
2025-01-05,105,Caixa de Sorvete de Chocolate Belga 10L,38,110.0,4180.0
2025-01-05,117,Caixa de Sorvete de Chocolate Belga 10L,43,110.0,4730.0
2025-01-05,128,Caixa de Sorvete de Chocolate Belga 10L,75,110.0,8250.0
2025-01-05,118,Caixa de Sorvete de Chocolate Belga 10L,87,110.0,9570.0
2025-01-05,108,Caixa de Sorvete de Chocolate Belga 10L,58,110.0,6380.0
2025-01-05,150,Caixa de Sorvete de Chocolate Belga 10L,66,110.0,7260.0
2025-01-05,133,Caixa de Sorvete de Chocolate Belga 10L,52,110.0,5720.0
2025-01-05,141,Caixa de Sorvete de Chocolate Belga 10L,24,110.0,2640.0
2025-01-05,110,Caixa de Sorvete de Chocolate Belga 10L,87,110.0,9570.0
2025-01-05,102,Caixa de Sorvete de Chocolate Belga 10L,77,110.0,8470.0
2025-01-06,146,Caixa de Sorvete de Chocolate Belga 10L,60,110.0,6600.0
2025-01-06,121,Caixa de Sorvete de Chocolate Belga 10L,40,110.0,4400.0
2025-01-06,101,Caixa de Sorvete de Chocolate Belga 10L,93,110.0,10230.0
2025-01-06,146,Caixa de Sorvete de Chocolate Belga 10L,94,110.0,10340.0
2025-01-06,114,Caixa de Sorvete de Chocolate Belga 10L,29,110.0,3190.0
2025-01-06,147,Caixa de Sorvete de Chocolate Belga 10L,83,110.0,9130.0
2025-01-07,108,Caixa de Sorvete de Chocolate Belga 10L,13,110.0,1430.0
2025-01-07,116,Caixa de Sorvete de Chocolate Belga 10L,87,110.0,9570.0
2025-01-07,109,Caixa de Sorvete de Chocolate Belga 10L,8,110.0,880.0
2025-01-07,141,Caixa de Sorvete de Chocolate Belga 10L,11,110.0,1210.0
2025-01-07,137,Caixa de Sorvete de Chocolate Belga 10L,67,110.0,7370.0
2025-01-07,137,Caixa de Sorvete de Chocolate Belga 10L,77,110.0,8470.0
2025-01-07,139,Caixa de Sorvete de Chocolate Belga 10L,32,110.0,3520.0
2025-01-07,149,Caixa de Sorvete de Chocolate Belga 10L,73,110.0,8030.0
2025-01-08,109,Caixa de Sorvete de Chocolate Belga 10L,58,110.0,6380.0
2025-01-08,127,Caixa de Sorvete de Chocolate Belga 10L,43,110.0,4730.0
2025-01-08,103,Caixa de Sorvete de Chocolate Belga 10L,35,110.0,3850.0
2025-01-08,143,Caixa de Sorvete de Chocolate Belga 10L,98,110.0,10780.0
2025-01-08,103,Caixa de Sorvete de Chocolate Belga 10L,58,110.0,6380.0
2025-01-08,102,Caixa de Sorvete de Chocolate Belga 10L,79,110.0,8690.0
2025-01-08,116,Caixa de Sorvete de Chocolate Belga 10L,79,110.0,8690.0
2025-01-08,126,Caixa de Sorvete de Chocolate Belga 10L,29,110.0,3190.0
2025-01-08,115,Caixa de Sorvete de Chocolate Belga 10L,92,110.0,10120.0
2025-01-08,125,Caixa de Sorvete de Chocolate Belga 10L,55,110.0,6050.0
2025-01-09,118,Caixa de Sorvete de Chocolate Belga 10L,69,110.0,7590.0
2025-01-09,134,Caixa de Sorvete de Chocolate Belga 10L,117,110.0,12870.0
2025-01-09,106,Caixa de Sorvete de Chocolate Belga 10L,23,110.0,2530.0
2025-01-09,102,Caixa de Sorvete de Chocolate Belga 10L,12,110.0,1320.0
2025-01-09,116,Caixa de Sorvete de Chocolate Belga 10L,27,110.0,2970.0
2025-01-10,143,Caixa de Sorvete de Chocolate Belga 10L,12,110.0,1320.0
2025-01-10,128,Caixa de Sorvete de Chocolate Belga 10L,80,110.0,8800.0
2025-01-10,108,Caixa de Sorvete de Chocolate Belga 10L,9,110.0,990.0
2025-01-10,105,Caixa de Sorvete de Chocolate Belga 10L,25,110.0,2750.0
2025-01-10,102,Caixa de Sorvete de Chocolate Belga 10L,80,110.0,8800.0
